X,Y,Label
7359,17947,0
7698,18367,0
7508,18152,0
7685,18382,0
7862,18524,0
7424,18296,0
7232,18858,0
7577,17632,0
7541,18651,0
7264,17732,0
7349,18996,0
7431,18103,0
7271,18412,0
7593,17212,0
7247,16996,0
7213,18142,0
7498,17934,0
7306,17498,0
7315,17018,0
7518,18242,0
7201,18257,0
7876,18053,0
8032,17403,0
8366,18107,0
9534,18935,0
10063,18009,4
10213,18555,4
10337,19316,4
9688,17352,4
8126,18696,4
8376,18691,4
7905,18522,4
8409,18164,4
8235,17824,4
7594,17672,4
7825,18096,4
7205,18167,4
7499,17798,4
7238,17202,4
7412,18422,4
7111,18668,4
6985,17956,4
7762,18419,4
7646,17227,4
6787,17069,4
6918,18338,4
7683,18006,4
6934,18850,4
6958,18324,4
7130,17283,4
6886,18209,4
7458,17319,4
7196,16891,4
6928,17030,4
6838,16832,4
6922,17731,4
7150,17766,4
7177,18076,4
6907,17271,4
6904,17318,4
7058,17510,4
7300,17057,4
6977,17482,4
7218,17238,4
7227,17557,4
7552,17247,4
6839,16989,4
7025,16529,4
7028,17745,4
7004,17543,4
6977,16982,4
6912,18253,4
7101,17903,4
7037,18299,4
7147,16640,4
7363,17591,4
7521,16979,4
7575,16632,4
7751,17040,4
7870,17524,4
8340,17212,4
8355,16748,4
8234,17042,4
8590,18138,4
8248,18480,4
8661,16680,4
8026,17272,4
8008,18257,4
8540,18627,4
8647,17540,4
8361,18270,4
8182,17470,4
7757,16899,4
7873,18000,4
7996,16468,4
8453,17665,4
7566,17593,0
7623,17140,0
7589,17216,0
7665,17704,0
7253,16887,0
7398,16331,0
6826,16732,0
7145,17140,0
6817,17314,0
6999,16558,0
7130,16332,0
7582,16634,0
7213,17298,0
6557,17301,0
7268,16351,0
6476,17008,0
6756,17123,0
6443,17661,0
6355,16867,0
6773,17010,0
6703,17034,0
6833,15730,0
6454,16169,0
6662,16108,0
6457,16609,0
6278,15137,0
6935,16743,0
6606,15295,0
7062,17028,0
6881,16311,0
6834,16769,0
7036,16042,0
6766,16728,0
7118,15692,0
7003,16060,0
6950,15725,0
7011,15833,0
7284,15666,0
6932,16026,0
7174,16766,0
6818,16079,0
6832,16573,0
6625,16411,0
6703,15657,0
6470,16527,0
6408,16130,0
6621,15231,0
6569,16468,0
6572,16427,0
6650,17186,0
6241,16817,0
6231,16668,0
6141,15642,0
6267,15294,0
6642,16151,0
6293,16321,0
5970,16262,0
6565,16897,0
6624,16109,0
6266,15258,0
6475,16135,0
6488,15311,0
6163,16645,0
6313,15935,0
6090,15705,92
5972,16938,92
6243,16414,92
6340,15845,92
6179,15470,92
6086,15299,92
6037,16025,92
6146,15673,92
6097,14873,92
6122,16699,92
7502,16692,92
7723,16287,92
7964,15671,92
7169,15315,85
6468,16704,85
7182,15514,85
6376,16068,85
6533,16360,85
6271,15750,85
6041,14846,85
5796,15267,85
5731,14908,85
6051,14662,85
5706,15107,85
6055,15369,85
6351,15080,85
5690,16368,85
5820,15173,85
5980,15852,85
6328,14559,85
5954,13606,85
5826,14358,85
6185,15541,85
5939,15854,85
6027,14724,85
6446,15835,85
5814,15511,85
7107,15113,85
6772,15131,85
7224,15780,85
7020,15680,85
7120,15846,85
6372,15427,0
6017,15518,0
8393,18183,0
8355,17733,0
9169,17937,0
8718,18506,0
8695,17617,0
8905,18872,0
8596,18407,0
8361,17795,0
8496,17817,0
8432,18451,0
8677,18236,0
8705,18330,0
9409,18150,0
8885,20029,0
8557,19262,0
8957,18736,0
8919,18031,0
8673,16965,21
8437,19541,21
7833,17771,21
8011,17390,21
7612,17468,21
7885,16937,21
7121,17437,21
7453,17040,21
6914,18801,21
7589,17848,21
7393,17713,21
7823,17713,21
7435,17590,21
7564,18785,21
8129,18068,21
7745,17871,21
7992,17975,21
7884,18545,21
7773,18393,21
7729,17736,21
7661,19022,21
7343,19566,21
8065,17823,21
8005,17649,21
7987,18476,21
8287,18559,21
7784,18161,21
7933,18846,21
7423,18531,21
7408,17808,21
7454,19612,21
7645,17793,21
7681,18761,21
7600,17216,21
8187,16954,21
7756,19016,21
7879,18173,21
7799,18917,21
7777,18038,21
7820,18661,21
7749,18350,21
8196,18423,21
